,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Tranquility Bloom Milling,,32% Res,,Argentleaf Milling,,32% Res,,Mana Lily Milling,,32% Res,,,,,,,,,,,,,,
3,,Start Amount Herb,5000.0,,,Start Amount Herb,5000.0,,,Start Amount Herb,5000.0,,,,,,,,,,,,,,,
4,,,Price,,,,Price,,,,Price,,,,,,,,,,,,,,,
5,,Transquility Bloom,5.0,,,Argentleaf,5.0,,,Mana Lily,5.0,,,,,,,,,,,,,,,
6,,Powder Pigment,5.0,,,Argentleaf Pigment,5.0,,,Mana Lily Pigment,5.0,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Expected pigment crafted,=C3*1.53,,,Expected pigment crafted,=G3*1.53,,,Expected pigment crafted,=K3*1.53,,,,,,,,,,,,,,,
9,,Expected crafted value per,=(C5*C3)/C8,,,Expected crafted value per,=(G5*G3)/G8,,,Expected crafted value per,=(K5*K3)/K8,,,,,,,,,,,,,,,
10,,Profit after AH cut,=SUM((C8*C6*0.95)-(C5*C3)),,,Profit after AH cut,=SUM((G8*G6*0.95)-(G5*G3)),,,Profit after AH cut,=SUM((K8*K6*0.95)-(K5*K3)),,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Sienna Ink,,"17% Res, 26% multi",,Munsell Ink,,"17% Res, 26% multi",,Soul Cipher,,"17% Res, 26% multi",,,,,,,,,,,,,,
18,,Powder Pigment Start,20000.0,,,Powder Pigment Start,20000.0,,,Sienna Ink Start,1000.0,,,,,,,,,,,,,,,
19,,Argentleaf Pigment Needed,=C18/2,,,Sanguithorn Pigment Needed,=G18/2,,,Munsell Ink Needed,=K18,,,,,,,,,,,,,,,
20,,Mana Pigment Needed,=C18/4,,,Mana Pigment Needed,=G18/4,,,Duskshrouded Stone Needed,=K18,,,,,,,,,,,,,,,
21,,Thalassian Songwater Needed,=C18*1.5,,,Thalassian Songwater Needed,=G18*1.5,,,Mote of Light Needed,=K18,,,,,,,,,,,,,,,
22,,,Price,,,,Price,,,Mote of Pure Void Needed,=K18,,,,,,,,,,,,,,,
23,,Powder Pigment,5.0,,,Powder Pigment,5.0,,,,Price,,,,,,,,,,,,,,,
24,,Argentleaf Pigment,5.0,,,Sanguithorn Pigment,5.0,,,Sienna Ink,5.0,,,,,,,,,,,,,,,
25,,Mana Pigment,5.0,,,Mana Pigment,5.0,,,Munsell Ink,5.0,,,,,,,,,,,,,,,
26,,Sienna Ink,5.0,,,Sienna Ink,5.0,,,Duskshrouded Stone,5.0,,,,,,,,,,,,,,,
27,,Expected crafted value per,=((C23*C18)+(C24*C19)+(C25*C20))/C28,,,Expected crafted value per,=((G23*G18)+(G24*G19)+(G25*G20))/G28,,,Mote of Light,5.0,,,,,,,,,,,,,,,
28,,Expected Inks crafted,=C18*0.18,,,Expected Inks crafted,=G18*0.18,,,Mote of Pure Void ,5.0,,,,,,,,,,,,,,,
29,,Profit after AH cut,=SUM((C28*C26*0.95)-((C23*C18)+(C24*C19)+(C25*C20))),,,Profit after AH cut,=SUM((G28*G26*0.95)-((G23*G18)+(G24*G19)+(G25*G20))),,,Soul Cipher,5.0,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,Expected Ciphers crafted,=2.729*K19,,,,,,,,,,,,,,,
32,,,,,,,,,,Expected crafted value per,=((K24*K18)+(K25*K19)+(K26*K20)+(K27*K21)+(K28*K22))/K31,,,,,,,,,,,,,,,
33,,,,,,,,,,Profit after AH cut,=SUM((K31*K29*0.95)-((K24*K18)+(K25*K19)+(K26*K20)+(K27*K21)+(K28*K22))),,,,,,,,,,,,,,,
34,,Milling setup,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,Reagent Craft setup,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,
